"There are no commands defined in the ""cache"" namespace.","Não existem comandos definidos no namespace ""cache""."
"LiveChat","LiveChat"
"Enable LiveChat Integration","Ativar Integração LiveChat"
"LiveChat integration module for B2B customer data enrichment","Módulo de integração LiveChat para enriquecimento de dados de clientes B2B"
"Experiment & Configuration","Experimentação e Configuração"
"Widget Experiment Configuration","Configuração do Experimento Widget"
"Feature Flag — LiveChat Widget Experiment","Feature Flag — Experimento de Widget LiveChat"
"Ativa melhorias progressivas do LiveChat com rollout controlado.","Ativa melhorias progressivas do LiveChat com rollout controlado."
"Rollout Percentage (0-100)","Percentual de Rollout (0-100)"
"Define o tráfego no experimento B. Exemplo: 20.","Define o tráfego no experimento B. Exemplo: 20."
"Variant Seed","Seed da Variante"
"Texto fixo para versionar buckets do experimento.","Texto fixo para versionar buckets do experimento."
"Control","Controle"
"Treatment","Tratamento"
"LiveChat customer context data not available","Dados de contexto de cliente do LiveChat não disponíveis"
"Tipo de cliente","Customer Type"
"Grupo do cliente","Customer Group"
"Status B2B","B2B Status"
"CNPJ","CNPJ"
"Razao social","Company Name"
"Nome fantasia","Trade Name"
"Telefone","Phone"
"B2B","B2B"
"B2C","B2C"
"Approved","Aprovado"
"Pending","Pendente"
"Rejected","Rejeitado"
"Tipo de pagina","Page Type"
"Produto","Product"
"SKU do produto","Product SKU"
"Marca do produto","Product Brand"
"Compatibilidade","Compatibility"
"Categoria atual","Current Category"
"Busca atual","Current Search"
"Home","Homepage"
"Checkout","Checkout"
"Login","Login Account"
